day,value
2017-08-14 20:00:00,55210.939430129256
2017-08-14 21:00:00,54271.9519628712
2017-08-14 22:00:00,53721.540766494254
2017-08-14 23:00:00,51199.26078724715
2017-08-15 00:00:00,47065.28956391675
2017-08-15 01:00:00,45859.18071706446
2017-08-15 02:00:00,43747.50816465339
2017-08-15 03:00:00,41191.633323343376
2017-08-15 04:00:00,39174.40421523401
2017-08-15 05:00:00,38626.13645312148
2017-08-15 06:00:00,36799.89938903674
2017-08-15 07:00:00,34348.498380963836
2017-08-15 08:00:00,34198.27611984291
2017-08-15 09:00:00,34405.01485757798
2017-08-15 10:00:00,36206.76546230593
2017-08-15 11:00:00,38384.43951111192
2017-08-15 12:00:00,43733.44031520362
2017-08-15 13:00:00,47942.766848711755
2017-08-15 14:00:00,48265.497284137455
2017-08-15 15:00:00,49497.028966174745
2017-08-15 16:00:00,49711.01511730978
2017-08-15 17:00:00,50721.55272351995
2017-08-15 18:00:00,51428.7171525003
2017-08-15 19:00:00,49835.35727440464
2017-08-15 20:00:00,47140.92265590155
2017-08-15 21:00:00,45705.08278620565
2017-08-15 22:00:00,44741.103934198625
2017-08-15 23:00:00,43567.79573421773
2017-08-16 00:00:00,44130.17737974249
2017-08-16 01:00:00,42509.739849238555
2017-08-16 02:00:00,43552.351890744954
2017-08-16 03:00:00,40974.23600416681
2017-08-16 04:00:00,40119.49693133326
2017-08-16 05:00:00,39022.86270740969
2017-08-16 06:00:00,38186.15270442547
2017-08-16 07:00:00,37814.844014044385
2017-08-16 08:00:00,37004.71064842175
2017-08-16 09:00:00,38701.70888143202
2017-08-16 10:00:00,40260.57547965257
2017-08-16 11:00:00,44824.39142191033
2017-08-16 12:00:00,47614.46813581118
2017-08-16 13:00:00,51381.09624507337
2017-08-16 14:00:00,54115.316364617545
2017-08-16 15:00:00,56050.01506879825
2017-08-16 16:00:00,55694.70620985523
2017-08-16 17:00:00,56586.18552592469
2017-08-16 18:00:00,56329.82146139395
2017-08-16 19:00:00,53617.904161156206
2017-08-16 20:00:00,53496.3867578178
2017-08-16 21:00:00,52479.94991717971
2017-08-16 22:00:00,51025.37312346684
2017-08-16 23:00:00,49975.94601903252
2017-08-17 00:00:00,48060.25233209732
2017-08-17 01:00:00,47518.30629343018
2017-08-17 02:00:00,45168.25975362664
2017-08-17 03:00:00,43641.279952503144
2017-08-17 04:00:00,41456.74729782705
2017-08-17 05:00:00,39271.89671573259
2017-08-17 06:00:00,38255.950043432495
2017-08-17 07:00:00,36220.12968747799
2017-08-17 08:00:00,35353.23529237725
2017-08-17 09:00:00,36301.7808611919
2017-08-17 10:00:00,39993.51739617441
2017-08-17 11:00:00,43193.336724689965
2017-08-17 12:00:00,47517.835219998386
2017-08-17 13:00:00,50185.498373671144
2017-08-17 14:00:00,52288.9084310187
2017-08-17 15:00:00,53389.80368338387
2017-08-17 16:00:00,55859.03149104701
2017-08-17 17:00:00,54597.95987207436
2017-08-17 18:00:00,54764.177284590616
2017-08-17 19:00:00,53256.826147406195
2017-08-17 20:00:00,52284.0291588743
2017-08-17 21:00:00,50906.917009071556
2017-08-17 22:00:00,49076.838423385816
2017-08-17 23:00:00,47430.363224372086
2017-08-18 00:00:00,47448.095265792486
2017-08-18 01:00:00,45043.289636419824
2017-08-18 02:00:00,43328.331389741914
2017-08-18 03:00:00,42392.611663166485
2017-08-18 04:00:00,41536.28501361254
2017-08-18 05:00:00,40814.18934068206
2017-08-18 06:00:00,39857.78746858556
2017-08-18 07:00:00,38423.97396166359
2017-08-18 08:00:00,38198.3553266795
2017-08-18 09:00:00,39058.95808772165
2017-08-18 10:00:00,40540.838696388586
2017-08-18 11:00:00,42396.759815267935
2017-08-18 12:00:00,47428.33057533088
2017-08-18 13:00:00,50232.35646363698
2017-08-18 14:00:00,52472.35207247186
2017-08-18 15:00:00,53641.46056225215
2017-08-18 16:00:00,52694.922080968994
2017-08-18 17:00:00,54259.25016813409
2017-08-18 18:00:00,54736.61367178778
2017-08-18 19:00:00,53719.53179365501
2017-08-18 20:00:00,52322.692566114754
2017-08-18 21:00:00,51696.944876595284
2017-08-18 22:00:00,51651.030804975315
2017-08-18 23:00:00,49968.928338996346
2017-08-19 00:00:00,47456.26961395176
2017-08-19 01:00:00,45726.23500881164
2017-08-19 02:00:00,44581.01834328865
2017-08-19 03:00:00,42021.18541944842
2017-08-19 04:00:00,41682.601648783006
2017-08-19 05:00:00,41060.43647360682
2017-08-19 06:00:00,41584.21837404411
2017-08-19 07:00:00,41488.12065317646
2017-08-19 08:00:00,40793.38846811402
2017-08-19 09:00:00,43654.40407633001
2017-08-19 10:00:00,44796.645858572105
2017-08-19 11:00:00,47373.86785078681
2017-08-19 12:00:00,51437.987500611176
