day,l6,kun
2017-09-13 22:00:00,2.6029333328478823,6.634777776617433
2017-09-13 23:00:00,2.4885333318578136,6.395111110317003
2017-09-14 00:00:00,2.317883332104493,6.26466666630017
2017-09-14 01:00:00,2.1961499991326763,6.290222223384092
2017-09-14 02:00:00,1.9183333304652335,6.299999998623635
2017-09-14 03:00:00,1.357716669040042,6.245111111233375
2017-09-14 04:00:00,1.4006333298294817,6.055444442179556
2017-09-14 05:00:00,1.1188166700474123,5.659777777533144
2017-09-14 06:00:00,1.6629000033367118,5.483666669332877
2017-09-14 07:00:00,3.390116678035731,6.472333335908045
2017-09-14 08:00:00,6.166900009754065,8.012444457719143
2017-09-14 09:00:00,7.5950000053136515,10.610888897690739
2017-09-14 10:00:00,7.696166666782394,11.894555558746497
2017-09-14 11:00:00,8.879283338134973,12.655444448618969
2017-09-14 12:00:00,9.209333330592465,12.644170586229151
2017-09-14 13:00:00,8.843516667237505,12.007208332319363
2017-09-14 14:00:00,7.938733326538253,11.640333330014247
2017-09-14 15:00:00,6.321199990605553,10.510555552020548
2017-09-14 16:00:00,5.470799998808888,9.830666662791838
2017-09-14 17:00:00,4.918033331777969,8.901333327887688
2017-09-14 18:00:00,4.610866665826184,8.001333329270075
2017-09-14 19:00:00,3.7240499943050747,7.274555554139127
2017-09-14 20:00:00,3.372650001829982,7.241222223115502
2017-09-14 21:00:00,3.768016668488152,7.382888890707317
2017-09-14 22:00:00,3.3102166619131603,7.042111105130562
2017-09-14 23:00:00,2.9915166654361465,6.299111111049642
2017-09-15 00:00:00,3.1374333344390264,6.150888886173762
2017-09-15 01:00:00,2.4663333303707864,5.882888890710129
2017-09-15 02:00:00,2.2850166659207227,6.194777777530728
2017-09-15 03:00:00,2.2514499973719726,6.374999999999656
2017-09-15 04:00:00,2.131100002126974,6.637666671486932
2017-09-15 05:00:00,2.5842000033522057,6.735999996476009
2017-09-15 06:00:00,2.7817000055123153,6.971000008072226
2017-09-15 07:00:00,4.032300002422706,8.247444447167307
2017-09-15 08:00:00,5.051200005515412,9.115777780036504
2017-09-15 09:00:00,8.262883345531996,9.77277778458986
2017-09-15 10:00:00,7.645583330429927,10.829333339095093
